,institution_id,project_id,title,project_abstract,dfg_verfahren,funding_start_year,funding_end_year,parent_project_id,participating_subject_areas_full_string,description,subject_area,international_connections
0,13232,372767665,"Anatomie, Ökologie und Ontogenie von Mesosauriern unter Anwendung von 3D-Bildtechnologien","Mesosaurier stellen als erste voll aquatischen Amnioten eine einzigartige und sehr spezialisierte Wirbeltiergruppe dar. Sie werden oftmals zu den Parareptilia gestellt, wohingegen manche Studien indizieren dass sie basale Sauropsiden außerhalb der Parareptilien-Eureptilien-Aufspaltung repräsentieren. Sie sind ausschließlich aus dem Unterperm von Gondwana bekannt. Allerdings stellen sie trotz ihrer eingeschränkten stratigraphischen und geographischen Verbreitung einen wichtigen Schritt in der Evolutionsgeschichte der Tetrapoden dar, indem sie hochspezialisiert für einen aquatischen Lebensstil sind: inklusive langem Schädel mit extrem verlängertem Rostrum, mit langen, dünnen, konischen Zähnen, einem schlanken Hals, einem langen abgeflachten Schwanz für lateral undulierende Bewegungen, und paddelförmige Vorder- und Hinterextremitäten. Nur drei monotypische Mesosaurier-Gattungen werden zur Zeit als valide angesehen: Mesosaurus tenuidens, Stereosternum tumidum, and Brazilosaurus sanpauloensis. Obwohl sie eine Schlüsselgruppe in der frühen Evolution der Amnioten verkörpern, sind Mesosaurier recht schlecht erforscht, trotz einiger jüngster Forschungsfortschritte in Bezug auf M. tenuidens. Die Hauptziele des hier vorgestellten Projekts beinhalten die detaillierte anatomische Untersuchung der weiteren Mesosaurier-Gattungen Stereosternum und Brazilosaurus unter Anwendung von 3D-Bildtechnologien basierend auf CT Daten, um neue phylogenetische Merkmale aufzudecken und existierende Hypothesen über ihre Verwandtschaftsverhältnisse zu testen. Eine geplante 3D-Rekonstruktion des Mesosaurierschädels zielt darauf ab, die kontroverse und historische Frage zu klären, ob Mesosaurier eine anapside oder synapside Schädelkonfiguration haben. Die geplante 3D-Analyse des Schädels (inklusive seiner internen Strukturen wie beispielsweise des Hirnschädels, Schädelausgusses und Innenohrs) beabsichtigt darüber hinaus weitere Wissenslücken zu schließen und wichtige Daten zur frühen Evolution des Amniotenschädels hervorzubringen. Des weiteren wird eine Finite Element Analyse (FEA) der Schädel von Stereosternum und Brazilosaurus angewandt und mit anderen rezenten und fossilen sekundär aquatischen Tetrapoden verglichen, um ihre respektive Beißkraft und Schädelresistenz zu testen und zu untersuchen, ob es Unterschiede in Fressverhalten (filtrierende Nahrungsaufnahme vs. aktive Prädation) und Lokomotion innerhalb der Mesosaurier gab. Abschließend bezweckt eine ontogenetische Studie mit speziellem Fokus auf postcranialen (aber auch cranialen) Proportionen mit morphometrischem Ansatz, inklusive linearen Messungen sowie geometrischer Morphometrie, potenzielle Variationen in den Wachstumsmustern von Mesosauriern zu untersuchen. Darauf basierend soll festgestellt werden, ob es Unterschiede im Fressverhalten zwischen juvenilen und adulten Mesosauriern gab. Die Ergebnisse dieses Projekts versprechen neuartige Einblicke in die Paläobiologie dieser frühesten sekundär aquatischen Amnioten.",Sachbeihilfen,2017,,,,,"Geologie, Ingenieurgeologie, Paläontologie",Großbritannien;Kanada
1,13232,269215105,"Bewegung in neue Nischen: Beine, Ökologie und Evolution mustellider Säuger","Umwelt und Ökologie haben einen starken Einfluss auf das Fortbewegungssystem in allen Wirbeltieren, was das Studium dieses Systems dazu prädestiniert, zu verstehen, wie Arten sich in der Vergangenheit an Veränderungen von Umwelt und ökologischer Nische angepasst haben. Gegenstand dieses Projekts ist die Untersuchung der Extremitätenmorphologie der Mustelidae, um zu verstehen, wie das Lokomotionssystem mit ökologischen Spezialisierungen koevloviert, und somit ein Vordringen in neue Nischen ermöglicht. Mustelidae, die Marderartigen, stellen aufgrund ihrer verschiedenen Abwandlungen im Lokomotionssystem ein ideales Vergleichssystem dar, um Anpassungen an unterschiedliche Lebensweisen und Fortbewegungsformen zuuntersuchen. Mustelidae sind mit ca. 60 Arten eine überschaubare Gruppe von Mardern und verwandten Taxa die, neben Generalisten, vielfältige Spezialisierungen an eine grabende, schwimmende oder kletternde Fortbewegung zeigen. Mustelidae sind mit einem Ursprung vor ca. 25 Millionen Jahren des Weiteren eine phylogenetisch vergleichsweise junge Gruppe, an der sich ökologische Anpassungen an eine sich verändernde Umwelt nachvollziehen lassen. Um diesen Fragen nachzugehen, werde ich ganze Tiere und Skelettpräparate von europäischen, afrikanischen und amerikanischen Arten untersuchen. Mit einem breiten und integrativen Ansatz werde ich dabei untersuchen, wie sich die Morphologie des Lokomotionssystems - von Gesamtbeinmorphologie und -form bis hin zu Fasertypenverteilung in einzelnen Muskeln - bei Mustelidae mit verschiedenen ökologischen Spezialisierungen unterscheidet. Dazu werde ich eine Vielzahl an für die Lokomotion relevanten Parametern auswerten, inklusive Charakteristika des ganzen Beins (Massenträgheit), des Skelettsystems (Knochenmasse und -dimensionen, Struktur, Aufbau und biomechanische Eigenschaften der Knochen anhand von Querschnitten) sowie des Muskelsystems (Muskel- und Muskelfaserarchitektur). Mit Hilfe von phylogenetisch basierten Vergleichsmethoden werde ich dann untersuchen, ob Veränderungen der Extremitätenmorphologie wesentlich mit Veränderungen und Expansion der ökologischen Nische zusammenhängen. Insbesondere mittels Tests von ,niche filling' und ,niche shifting' Modellen, soll ein Zusammenhang zwischen Veränderungen im Lokomotionssystem einerseits, und rapider Diversifikation und Adaptation an sich verändernde Umweltbedingungen andererseits, untersucht werden. Eine Untersuchung derEvolutionsraten des Lokomotionssystems soll darüber Aufschluss geben, ob Veränderungen im Lokomotionssystem Diversifikationsprozessen vorausgehen, und in welchem Umfang diese Veränderungen ein evolutionär erfolgreiches Überleben in neuen Lebensräumen ermöglichten. Die ganzheitliche Untersuchung von Extremitäten sowie deren Muskulatur und Skelett in einem phylogenetischen Rahmen, wird dazu beitragen, zu verstehen, wie die Koevolution funktionell integrierter Merkmalssysteme zur Adaptation an neu entstandene Nischen führt.",Sachbeihilfen,2015,,,,,"Ökologie der Tiere, Biodiversität und Ökosystemforschung;Anatomie",Brasilien;Großbritannien;Südafrika;USA
2,13232,324399721,"Biodiversitätsmuster, Paläoökologie und funktionelle Diversität des ""Great Ordovician Biodiversification Event"" in der Basin and Range Provinz, USA.","Die Analyse von Mechanismen biologischer Diversifizierung ist seit jeher ein zentraler Aspekt makroevolutionärer Forschung. Angesichts der gegenwärtigen Artenkrise ist ein tieferes Verständnis solcher Prozesse für den Aufbau und den Erhalt biologischer Artenvielfalt unabdingbar. Paläontologische Ansätze sind besonders wichtig, da sie in der Lage sind historische Diversitätsentwicklungen offen zu legen. Neben externen Faktoren spielen biotische Prozesse, wie Jagd- und Konkurrenzdruck, bei der Diversifizierung eine entscheidende Rolle. Insbesondere Konkurrenz ist als Steuerungsfaktor nur unzureichend verstanden. Verschiedene Modelle stellen Konkurrenzdruck als Treiber sowie als Hemmnis für Artbildungsprozesse dar. Eigene Arbeiten zum Thema weisen darauf hin, dass Artbildungsraten an sich diversitätsgebunden sind. In niedrig diversen Ökosystemen ermöglicht der geringe Konkurrenzdruck Organismen große Habitatbreiten zu realisieren, was für eine niedrige Gesamtdiversität der Region führt. Hohe Konkurrenz tritt in lokal diversen Systemen hervor, wo Organismen zunehmend auf ihr ökologisches Optimum beschränkt bleiben, was sich in einer höheren Beta-Diversität ausdrückt. Ein hypothetischer Phasenübergang von ""ungesättigten"" zu ""gesättigten"" Bedingungen erklärt zwei Effekte, die typisch für Diversifizierungsereignisse zu sein scheinen: (1) eine zeitliche Verzögerung zwischen der Etablierung (oder dem Überleben) von Taxa höher systematischen Ebenen und er eigentlichen Diversifizierung, sowie (2) einem schließlich relativ raschen Diversitätsanstieg. Die differentielle Analyse von Alpha und Beta-Diversität kann helfen, den Einfluss intrinsischer Effekte (v.a. Konkurrenzdruck) auf die Diversitätsdynamik abzuschätzen. Das ""Great Ordovician Biodiversification Event"" (GOBE) markiert das umfassendste Diversifizierungsereignis mariner Organismen in der Erdgeschichte und gilt als ""natürliches Experiment"", welches es erlaubt fragliche Diversitätsparameter repräsentativ für einen größeren Zeitraum zu erfassen und damit Rückschlüsse auf Wirkmechanismen zu treffen. Mit Hilfe quantitativer paläoökologischer Methoden soll versucht werden Diversitäten innerhalb sowie zwischen benachbarten marinen Habitaten zu charakterisieren. Aus diesen Daten lässt sich ableiten, ob Konkurrenzdruck maßgeblich an der ökologischen Ausdifferenzierung (Spezialisierung) entlang von Umweltgradienten beteiligt war oder ob der Anstieg eher zufällig geschieht bzw. durch andere Faktoren gesteuert wird. Die marinen Abfolgen der Basin and Range Provinz (USA) bieten mit ihrem Fossilreichtum, der nahezu kontinuierlichen Ablagerungsgeschichte, sowie der abwechslungsreichen Faziesarchitektur ideale Bedingungen um diesen Fragen nachzugehen. Die zu erwartenden Ergebnisse sind entscheidend für die Abschätzung des Einflusses biologischer Interaktionen auf Diversifizierungsprozesse und tragen somit zum grundlegenden Verständnis zentraler Evolutionsmechanismen bei.",Sachbeihilfen,2017,,,,,"Geologie, Ingenieurgeologie, Paläontologie",USA
3,13232,407924429,"Closing the corridor –Suche nach archaeoceten Überresten (Mammalia: Cetartiodactyla) in den eozänen Ablagerungen bei Kangan (Golfregion, Iran)","In der Region Bandar-e-Kangan am Persischen Golf im Iran wurden in marinen Ablagerungen der Pabdeh Formation (paläogene Folgen) fossilisierte Knochen großer Wirbeltiere gefunden. Eine Kurzexpedition erbrachte die Gewissheit, dass dort in den eozänen Schichten der Kangan-Antiklinie höchstwahrscheinlich Urwal-Überreste eingebettet wurden. Die gesichteten Oberflächenfunde waren jedoch sehr stark verwittert, so dass eine konkrete Ansprache nicht möglich war. Eine gezielte Prospektion und Grabung ist nun geplant, um möglichst unverwitterte Skelettreste zu finden und zu bergen. Die Lokalität befindet sich im Korridor zwischen den ausgezeichnet dokumentierten basalen Archaeoceten aus den meist ufernahen, flachmarinen Ablagerungen Indopakistans (Ypresium-Bartonium) und der westlichen Tethys-Provinz von Wadi Al-Hitan in Ägypten (Bartonium-Priabonium) mit überwiegend abgeleiteten, vollmarinen Vertretern der Basilosauridae. Funden aus dem Iran könnte ein große Bedeutung für die Interpretation der Phylogenie und Entwicklung der paraphyletischen Urwale zukommen und unser Wissen um die Evolution der Wale erweitern. Die Diskussion ist letztendlich abhängig vom Erfolg unserer Grabungsaktivitäten bzw. von Art und Erhaltung der Funde. Geodaten von Fundstellen sollen helfen, Alter und Lebensraum entdeckter Fossilien zu rekonstruieren.",Sachbeihilfen,2018,,,,,"Geologie, Ingenieurgeologie, Paläontologie",Iran
4,13232,384478093,"Das Fenster zur Natur und Kunst: Eine historisch-kritische Aufarbeitung der Brandenburgisch-Preußischen Kunstkammer als Observatorium, Laboratorium, Kommunikationsfläche und Schauraum des Wissens","Ziel des Forschungsvorhabens ist zum Ersten eine umfassende Rekonstruktion der Sammlungen der Brandenburgisch-Preußischen Kunstkammer, die den Nukleus der Berliner Museumslandschaft bilden. Zum zweiten sollen die Strahlkraft des Prinzips Kunstkammer als Ausstellungsprinzip kritisch reflektiert und drittens seine Potentiale im Sinne eines wieder geöffneten Fensters zur Welt als Spiritus Rector des Humboldt-Forums erschlossen werden. In diesem ersten Arbeitsfeld wird die systematische Generierung von Objektbiografen der ehemaligen Kunstkammerobjekte seitens des Museums für Naturkunde, der Staatlichen Museen zu Berlin sowie der Humboldt-Universität zu Berlin im Vordergrund stehen. Zum Zweiten soll es um die Erschließung der szientifischen und theoretischen Grundlagen der Kunstkammer sowie der diesem universalen Sammlungsprinzip folgenden Szenografen und Praktiken der Wissensgenerierung gehen, wie sie in den letzten 15 Jahren zu beobachten waren. In diesem Zusammenhang soll mittels einer kulturhistorischen und sozialgeografischen Untersuchung der Versuch einer Rekonstruktion und begrifflichen Klärung des genuinen Sammlungs- und Ausstellungsprinzips in allen Kulturen unternommen werden. Der dritte Schwerpunkt wird darin liegen, die Potenziale der Kunstkammer als Zukunftsmodell auszuloten. Im Zentrum steht das kulturübergreifende Modell Kunstkammer als universales Sammlungskonzept. In diesem Kontext werden zeitgenössische Ausstellungsgestaltungen, die dem Kunstkammerprinzip folgen, im Hinblick auf ihre Strategien zur Wissensgenerierung befragt. Darüber hinaus wird geprüft, inwiefern sich die Strukturen einer Entäußerung, wie sie das Digitale und Analoge bieten, als Strategien einer »Vergewisserung des Wissens« miteinander verknüpft und als Ansätze für eine grundlegende Neuformulierung und Aktualisierung dieses Ordnungs- und Präsentationstyps nutzbar gemacht werden können. In gedanklicher Weiterführung soll das in diesen umfangreichen Recherchen zusammengetragene Wissen in Form einer virtuellen Sammlung Eingang in eine digitale Datenbank finden, die über den Abschluss des Forschungsprojekts hinaus einen geistigen Zugang zur Brandenburgisch-Preußischen Kunstkammer ermöglicht. Darüber hinaus werden ideelle Konzepte entwickelt, um der zukünftigen dreidimensional angelegten Präsenz der Brandenburgisch-Preußischen Kunstkammer im Humboldt-Forum Gestalt und Substanz zu verleihen.",Sachbeihilfen,2017,,,,,Kunstgeschichte,Österreich;Russische Föderation
5,13232,315696891,Die Auswirkungen eiszeitlicher Klimaschwankungen auf die Evolution afrikanischer Säugetiere am Beispiel der Pferdeböcke,"Eiszeitliche Klimaschwankungen haben zu Glazial-Interglazial-Zyklen in höheren Breiten und Feucht-Trocken-Zyklen in tropischen und subtropischen Regionen geführt. Letztere Zyklen, mit einer Dauer von etwa 100,000 Jahren, wurden in Afrika anhand geologischer und palynologischer Studien direkt, und anhand ihrer Auswirkungen auf die Phylogeographie afrikanischer Herbivoren indirekt untersucht. Im beantragten Projekt beabsichtigen wir, Populationsgrößenschwankungen mit Hilfe kompletter Genome zu bestimmen, um die Auswirkung der eiszeitlichen Feucht-Trocken-Zyklen auf die Ausbreitung afrikanischer Großsäuger zu untersuchen. Wir werden uns dabei auf die Gruppe der Pferdeantilopen (Hippotragini) konzentrieren, die mit acht bis heute oder vor kurzem überlebenden Arten in Habitaten von Wüsten bis Savanne verbreitet waren. Wir wollen dabei die Hypothese testen, dass die an trockene Habitate angepassten Arten der Gattungen Oryx und Addax die höchsten Populationsgrößen während trockener Phasen (Glaziale) erreichten. Die umgekehrte Voraussage trifft auf die stärker von Wasser abhängigen Arten der Gattung Hippotragus zu. Wir werden außerdem DNA des ausgestorbenen Blaubocks (H. leucocephalus) aus eiszeitlichen und holozänen Proben sequenzieren, um die Hypothese zu testen, dass die Populationsgröße dieser Art bereits Ende des 18. Jahrhunderts nicht überlebensfähig klein war und die Bejagung mit Feuerwaffen durch europäische Siedler sein Aussterben lediglich beschleunigt hat. Zudem werden wir die genetische Variabilität von Blaubock-Populationen aus dem westlichen und östlichen Südafrika vergleichen, um zu untersuchen ob es sich um eine saisonal wandernde Art gehandelt hat und die Klimaveränderungen zu Beginn des Holozäns durch eine Unterbrechung der Wanderrouten zum Aussterben des Blaubocks beigetragen haben.",Sachbeihilfen,2016,,,,,"Evolution, Anthropologie;Ökologie der Tiere, Biodiversität und Ökosystemforschung",
6,13232,264294766,Die Biogeographie Spätpaläozoischer Tetrapoden,"Das späte Paläozoikum repräsentiert eine entscheidende Phase in der Entwicklung und Organisation terrestrischer Wirbeltierökosysteme mit der Etablierung komplexer Lebensgemeinschaften und vielschichtigen trophischen Hierarchien. Zu dieser Zeit, dokumentiert die frühe Evolution und Diversifikation der Amnioten (voll terrestrischer Tetrapoden) eine Bifurkation in zwei Evolutionslinien: die Synapsiden (inklusive der Säugetiere) und die Sauropsiden (inklusive der Reptilien und Vögel). Oberkarbonische und unterpermische Ökosysteme stellen vor allem wassernahe Habitate in einem humiden äquatorialen Tropengürtel dar. Allerdings haben zum Ende des Unterperm erhebliche Veränderungen im terrestrischen Milieu zur Abschmelzung der Eiskappe am Südpol und damit einhergehenden Klimaveränderungen geführt, wie beispielsweise der Reduzierung und letztendlich auch des Verlustes des immer feuchten Tropengürtels. Zu dieser Zeit haben sich terrestrische Ökosysteme erstmalig von paläoäquatorialen Regionen in gemäßigte Klimazonen der höheren Breiten ausgedehnt. Obwohl die biogeographischen Muster im Allgemeinen bekannt sind, wurden diese bisher nicht konsequent mit quantitativen Methoden getestet. In der hier vorgeschlagenen Studie werden spezifische Hypothesen bezüglich der biogeographischen Verbreitung früher Tetrapoden mit kladistisch-biogeographischen Methoden getestet. Zu diesem Zweck werden ausgewählte kritische Tetrapodenarten aus Nordamerika und Russland taxonomisch neu evaluiert und deren Verwandtschaftsverhältnisse innerhalb basaler Amnioten mit Hilfe globaler phylogenetischer Analysen untersucht. Darüber hinaus wird eine existierende Datenbank terrestrischer Wirbeltiere aus dem südafrikanischen Karoo Becken aktualisiert und weitere quantitative Untersuchungen an dieser lokalen sowie zusätzlichen globalen Datenbanken durchgeführt. Dies dient unter anderem dazu, Endemismus innerhalb und zwischen den einzelnen Becken sowie Veränderungen in der faunalen Homogenität durch die geologische Zeit zu untersuchen. Die Resultate dieses Projektes werden wichtige Einblicke in die frühe Verbreitungsgeschichte der Tetrapoden und insbesondere der vollterrestrischen Amnioten geben.",Sachbeihilfen,2014,,,,,"Geologie, Ingenieurgeologie, Paläontologie",Kanada;Russische Föderation;Südafrika;USA
7,13232,388827550,Die Evolution von Knochenzellen in der Tiefenzeit und die Implikationen für den Knochenstoffwechsel in der Geschichte der Wirbeltiere,"Die meisten Wirbeltiere besitzen zelluläre Knochen, in welchen Knochenzellen (Osteozyten) in höhlenartigen Lakunen eingeschlossen und über dendritische Zellfortsätze miteinander verbunden sind, die in einem hochkomplexen Netzwerk von Kanälchen (Kanalikuli) verlaufen. Neue Studien haben gezeigt, dass dieses sogenannte lakunokanalikuläre Netzwerk eine zentrale Rolle im Knochenstoffwechsel spielt. So regeln Osteozyten das Formen und die Umbildung von Knochenoberflächen entsprechend der einwirkenden mechanischen Belastungsänderungen, erkennen Mikrorisse im Knochen und veranlassen ihre Reparatur und spielen eine grundlegende Rolle im Gleichgewicht des Mineralstoffwechsels. Darüber hinaus wurde gezeigt, dass die Anzahl von Osteozyten per Volumeneinheit Knochen proportional zur Wachstumsrate des Knochens ist, und ihre Dichte und Form variiert gemäß der örtlichen mechanischen Belastung während der Knochenbildung. Aufgrund dieser vielfältigen Aufgaben im Knochenstoffwechsel heutiger Wirbeltiere ist anzunehmen, dass die Muster der Verbreitung und Morphologie der Osteozyten neue Erkenntnisse zur Biologie fossiler Wirbeltiere ermöglichen. Obwohl das lakunokanalikuläre Netzwerk normalerweise in fossilem Knochen sehr gut erhalten ist, ist die evolutionäre Geschichte von Osteozyten noch wenig bekannt. In dem beantragten Projekt soll das lakunokanalikuläre Netzwerk durch die gesamte Wirbeltierevolution, von den ersten Wirbeltieren mit zellulärem Knochen, den kieferlosen Osteostracen, zu den basalen kiefertragenden Wirbeltieren (Placodermen und Acanthodier), Knochenfischen, Stamm-Tetrapoden, Amphibien und Amnioten quantitativ und qualitativ untersucht werden, um eine Tiefenzeit-Perspektive der Osteozyten-Evolution zur erhalten. Fossiler Knochen wird mit Licht- und Rasterelektronenmikroskopie (REM) sowie Röntgentomographie am Synchrotron untersucht. Der Schwerpunkt liegt dabei auf der Dichte und Anordnung der Lakunen, ihrer Form und Größe, der Morphologie der Kanalikuli sowie der Art der Knochenmatrix, in die das lakunokanalikuläre System eingebettet ist. Die Ergebnisse der Fossiluntersuchungen werden mit Knochendünnschliffen rezenter Formen verglichen, von denen die Stoffwechselrate bekannt ist, sowie mit Daten moderner Knochenzellbiologie. Dies erlaubt Rückschlüsse auf die Stoffwechselrate, Bildung und Umbau des Knochens sowie seine örtlichen mechanischen Belastungen bei fossilen Wirbeltieren, die im Rahmen von Körpergröße, Wachstumsstadium und Lebensraum (z.B. aquatisch oder terrestrisch) betrachtet werden. Auch soll ein Test auf phylogenetische Signale des lakunokanalikulären Netzwerks in den verschiedenen Wirbeltierlinien basierend auf unterschiedlichen mathematischen Methoden ausgeführt werden. Die Projektergebnisse werden für unser Verständnis der Entwicklung des Knochenstoffwechsels in der Geschichte der Wirbeltiere und insbesondere vor dem Hintergrund bedeutender evolutionärer Umwandlungen von großer Wichtigkeit sein.",Sachbeihilfen,2017,,,,,"Geologie, Ingenieurgeologie, Paläontologie",
8,13232,386259701,Die Evolution von Regenerationsvermögen in Tetrapodenextremitäten unter Einbeziehung rezenter und fossiler Daten,"Salamander spielen eine besondere Rolle innerhalb der Tetrapoden aufgrund ihres außergewöhnlich hohen Regenerationsvermögens, welches Teile von inneren Organen, die Linsen der Augen und vollständige Schwanz- und Extremitätenregeneration beinhaltet. Insbesondere das Regenerationsvermögen der Extremitäten war in den letzten Jahrzehnten Gegenstand intensiver Forschung, die speziell in Hinsicht auf die molekularen Mechanismen der Extremitätenregeneration große Fortschritte erzielt hat. Die überwiegende Mehrheit der Studien konzentriert sich dabei auf den mexikanischen Axolotl, Ambystoma mexicanum, einen neotenen ambystomatiden Salamander, als Modelorganismus für Laborversuche. Im Gegensatz dazu ist nur sehr wenig zur Diversität von regenerativen Fähigkeiten innerhalb der ökologisch und morphologisch extrem diversen Gruppe der Salamander bekannt und wie das Regenerationsvermögen sich in Salamandern mit 'life history' Strategien unterschiedlich der des Axolotls unterscheiden. In Kombination mit Daten aus dem Fossilbericht können diese Informationen wichtige Aufschlüsse über die Evolutionsgeschichte von Regenerationsvermögen in der Tetrapodenextremität liefern und somit wesentlich zu der Identifizierung von plesiomorphen versus abgeleiteten Faktoren beitragen. Dieses Projekt verfolgt einen integrativen Ansatz, der paläohistologische Daten aus der fossilen Stammlinie moderner Amphibien mit histologischen Daten moderner Salamander, sowie vergleichenden Transkriptomdaten kombiniert, um ein vielgestaltiges Bild der Evolution von Regenerationsvermögen in den Extremitäten von Tetrapoden zu generieren. Extremitätenregeneration wird mit histologischen Methoden sowie CT Datensätzen ausgewählter Salamander untersucht, um Variationen in der Geschwindigkeit und Genauigkeit der Extremitätenregeneration innerhalb der Ontogenese eines Taxons sowie zwischen verschiedenen Taxa mit unterschiedlichen 'life history' Strategien (Neotenie, Metamorphose und Direktentwicklung) zu erfassen. Eine paläohistologische Untersuchung regenerierter Extremitäten des permischen Dissorophoiden Micromelerpeton bildet die Basis für einen Vergleich mit rezenten Salamandern in Hinsicht auf Organisation von Gewebestrukturen und Anomalien in der Regeneration. Darüber hinaus werden die molekularen Signaturen in der Extremitätenentwicklung von larvalen, neotenen und metamorphosierten Salamandern, sowie Fröschen und Lungenfischen anhand vergleichender Transkriptomdaten untersucht. Die Kombination der Daten aus diesen verschiedenen Ansätzen bildet einen neuen, integrativen Rahmen für das Verständnis der Evolution von Regenerationsvermögen in den Extremitäten von Tetrapoden und weist zukünftige Forschungsansätze zum Einfluss von Ontogenese und 'life history' Strategien auf Regenerationsvermögen auf, darunter auch mögliche Veränderungen in der Rolle bestimmter molekularer Signale wie z.B. Stammzellensignale, entlang dieser Parameter.",Sachbeihilfen,2017,,,,,"Geologie, Ingenieurgeologie, Paläontologie;Evolution, Anthropologie",Brasilien;USA
9,13232,388659338,Die Perspektive vom anderen Ende der Welt: Mitteltriassische Ichthyosaurier aus Nevada und ihre Bedeutung für die initiale Phase der Mesozoic Marine Revolution im Bereich des Ostpazifik,"Die frühe und mittlere Trias sind Schlüsselperioden für unser Verständnis der Organisation und Evolution von Ökosystemen, da in dieser Zeit die modernen Ökosystemstrukturen nach dem größten Massenaussterbeereignis der Erdgeschichte am Ende des Perms etabliert wurden. Im marinen Milieu radiierten sekundär aquatische Reptilien, insbesondere Ichthyosaurier und Sauropterygier, und gelten daher als Schlüsselelement der s.g. Mesozoic Marine Revolution (MMR), während der die Reorganisation der marinen trophischen Netzwerke hin zu der modernen Struktur statt fand. Während es viele Daten zu den Flachwasserhabitaten des Tethys-Raumes gibt, ist vergleichsweise wenig über die Fauna des Tiefwasserbereichs im Pazifischen Raum bekannt und stellt somit eine signifikante Lücke in unserem Wissen zu dieser wichtigen Phase der Wirbeltierevolution dar. Wir streben hier an diese Lücke zu schließen, um ein umfassendes Bild der faunistischen Unterschiede zwischen Tethys und Pazifischem Raum zu bekommen. Dies bildet die Basis für ein Verständnis der Erholungsphase und Ökosystemstrukturierung nach dem permotriassischen Aussterbeereignis und den damit verbundenen biogeographischen Verbreitungsmustern. Konkret streben wir an, die bisher unerforschten fossilführenden Schichten des mitteltriassischen Fossil Hill Member in den Augusta Mountains systematisch zu prospektieren, da dies mit großer Wahrscheinlichkeit weitere hoch relevante Funde mariner Reptilien des Tiefwasserbereiches des pazifischen Raums hervorbringen wird. In vorherigen Geländekampagnen wurde das gut erhaltene Skelett eines mittelgroßen trächtigen Ichthyosauriers sowie das vordere Drittel des Skelettes eines sehr großen Ichthyosauriers (Schädellänge 1,95 m) geborgen. Dieser spektakuläre Neufund unterscheidet sich deutlich von Thalattoarchon, dem ersten Großräuber unter den sekundär aquatischen Tetrapoden, durch seine noch größeren Ausmaße und besonders sein Fischfressergebiss. In Kombination mit einer Revision der mixosauriden und cymbospondyliden Ichthyosaurier des Fossil Hill Member werden detaillierte anatomische Beschreibungen dieser Funde wichtige neue Daten für ein Verständnis der morphologischen Disparität und Reproduktionsstrategien in frühen Ichthyosauriern liefern. Eine phylogenetische Analyse wird darüber hinaus die Basis für eine detaillierte Diskussion der frühen Evolution der Ichthyosaurier bilden, sowie die Grundlage für weiterführende Analysen zur Biogeographie und Ökosystemstrukturierung. Insbesondere die trophischen Interaktionen spielen eine integrale Rolle in der Neustrukturierung der Ökosysteme und der Radiation der marinen Reptilien. Daher ist das Projekt eng mit einem laufenden DFG-Projekt verknüpft, das der Untersuchung der Ammonoideen-Fauna und -Biostratigraphie des Fossil Hill Member gilt.",Sachbeihilfen,2017,,,,,"Geologie, Ingenieurgeologie, Paläontologie",USA
